"Orthogroup"	"Kluyveromyces_marxianus_DMKU3_1042"	"Saccharomyces_cerevisiaeS288c"	"Scheffersomyces_stipitis_CBS6054"	"Schizosaccharomyces_pombe_972"
"OG0000867"	"W0TCK9"	"Q04947 Q12443"	"A3LS76"	"P53694"
"OG0000868"	"W0T8G6"	"P32368"	"A3LPJ7"	"O14127 O60162"
"OG0000869"	"W0TAZ9"	"Q06147 Q12246"	"A3LPP9"	"O14159"
"OG0000870"	"W0TH50"	"P17536 P40414"	"A3LSG6"	"Q02088"
"OG0000871"	"W0TCD1"	"Q08601"	"A3LSY7 A3LZT0"	"O74477"
"OG0000872"	"W0THZ0"	"P53968"	"A3LPW7 A3LXU2"	"Q09838"
"OG0000874"	"W0T830"	"P40054 P40510"	"A3LPQ2"	"P87228"
"OG0000875"	"W0TE58"	"P53897 Q9P305"	"A3LVU1"	"P79058"
"OG0000876"	"W0T6G7"	"P53281 Q06449"	"A3LRZ5"	"O43125"
"OG0000877"	"W0TJY9"	"P04840 P40478"	"A3LXF4"	"Q9P544"
"OG0000878"	"W0THG1"	"P17898 P22140"	"A3LPE2"	"O13901"
"OG0000879"	"W0TK50"	"P01119 P01120"	"A3LU85"	"P08647"
"OG0000880"	"W0T5D0"	"P48566 Q12317"	"A3LZB3"	"P87234"
"OG0000881"	"W0TC25"	"P07249 P11746"	"A3LWF0"	"P78926"
"OG0000882"	"W0TD48"	"Q04869"	"A3LTG7"	"O13991 O42896"
"OG0000883"	"W0T7R1"	"P31378 Q08214"	"A3LQB2"	"Q09907"
"OG0000884"	"W0TGL7"	"P15731 P15732"	"A3GGX4"	"P46595"
"OG0000885"	"W0T8U3"	"P14736"	"A3GEV7"	"P87235 Q10445"
"OG0000886"	"W0TE80"	"P34216"	"A3GHP3"	"O94685 Q9HGL2"
"OG0000887"	"W0TI26"	"P40482 P53953"	"A3LRW3"	"Q9UUI5"
"OG0000888"	"W0TEJ9"	"Q03944 Q06001"	"A3LXI1"	"O74388"
"OG0000889"	"W0TDC9"	"P39935 P39936"	"A3LTW3"	"Q10475"
"OG0000891"	"W0TDU3"	"P04819"	"A3LP53"	"P12000 Q9C1W9"
"OG0000892"	"W0TD73"	"Q12502"	"A3LQA7"	"O60150 Q10347"
"OG0000893"	"W0T8K4"	"P16151"	"A3LWV4"	"Q10151 Q9UTD8"
"OG0000894"	"W0T394"	"P53197"	"A3LMW8"	"O13286 O94423"
"OG0000895"	"W0TAI9"	"P48589"	"A3LZI5"	"O14062 O74322"
"OG0000896"	"W0TER8"	"Q12069 Q12362"	"A3LZB1"	"Q09709"
"OG0000897"	"W0TCI9"	"Q03761"	"A3LQ65 A3M0B4"	"O13722"
"OG0000898"	"W0TC91"	"P19881"	"A3LPM6 A3LSX4"	"Q00472"
"OG0000899"	"W0T6I2"	"P38301"	"A3LU96"	"Q10320 Q9P7Q0"
"OG0000900"	"W0THL4"	"Q04772"	"A3LUI3"	"O74875 Q10352"
"OG0000901"	"W0TFD2"	"P01097 P01098"	"A3LXC7"	"O74523"
"OG0000902"	"W0T3I9"	"P38857 P53311"	"A3LYW4"	"Q09896"
"OG0000903"	"W0T583"	"P38856 P53309"	"A3LSX0"	"O60167"
"OG0000904"	"W0TAJ8"	"P49167"	"A3LMZ0"	"Q09900 Q9USR7"
"OG0000905"	"W0TFQ9"	"P38590 P40479"	"A3LRW5"	"O13453"
"OG0000906"	"W0TB05"	"P02407 P14127"	"A3LQF1"	"O42984"
"OG0000907"	"W0TC10"	"Q02799"	"A3LPZ5"	"O74463 P41000"
"OG0000908"	"W0TJM6"	"P08417"	"A3GEV9 A3M058"	"O94552"
"OG0000909"	"W0T421"	"Q08162"	"A3GHZ1"	"O14040 P37202"
"OG0000910"	"W0TCZ4"	"Q02793"	"A3LRG5"	"O42996 Q09150"
"OG0000911"	"W0TAU8"	"P52892 P52893"	"A3LPT6"	"Q10334"
"OG0000912"	"W0TCB9"	"P07262 P39708"	"A3LS93"	"P78804"
"OG0000913"	"W0TAQ8"	"P31539"	"A3LYX4 A3LYX5"	"O94641"
"OG0000914"	"W0TFH8"	"P10870 Q12300"	"A3LZS0 A3M0N3"	""
"OG0000915"	"W0T7B7"	"P38704 Q00947"	"A3GHI6 A3GHW2"	""
"OG0000916"	"W0T630"	"Q06698"	"A3LQ67"	"O60114 O94536"
"OG0000917"	"W0T7S2"	"P48353"	"A3LT04 A3LYT8"	"O13633"
"OG0000918"	"W0TEE1"	"P12683 P12684"	"A3LX63"	"Q10283"
"OG0000919"	"W0T7I4"	"P38758"	"A3LQF3"	"O14252 Q10058"
"OG0000920"	"W0TH34"	"P53043"	"A3LNZ4"	"O43049 Q96WW2"
"OG0000921"	"W0THH5"	"Q02555"	"A3LPK0 A3LS79"	"P22192"
"OG0000922"	"W0TEV2"	"P43555 Q12396"	"A3LYV3"	"O42707"
"OG0000923"	"W0TEN7"	"P0CX84 P0CX85"	"A3LZR7"	"O74904"
"OG0000924"	"W0T867"	"Q03028 Q99297"	"A3LP75"	"Q9P3T7"
"OG0000925"	"W0T8P3"	"P36066 Q04472"	"A3M0B8"	"Q9P7N6"
"OG0000926"	"W0TE59"	"P50087"	"A3GFX6 A3GHQ5"	"O94578"
"OG0000927"	"W0T2P8"	"P32835 P32836"	"A3LW11"	"P28748"
"OG0000929"	""	"O13516 P05755"	"A3LRQ6"	"O59675 Q09757"
"OG0000930"	""	"O14455 P05745"	"A3LRS0"	"O94658 Q92365"
"OG0000932"	""	"P0CX25 P0CX26"	"A3LVS4"	"O94686 Q9HGL8"
"OG0000933"	""	"P0CX33 P0CX34"	"A3M0C5"	"P0CT62 P0CT63"
"OG0000934"	""	"P0CX47 P0CX48"	"A3LR50"	"P0CT73 P0CT74"
"OG0000935"	""	"P0CX49 P0CX50"	"A3LZT9"	"Q10192 Q8TFH1"
"OG0000936"	""	"P17064 P40039 Q12119"	"A3LNU9 A3LU15"	""
"OG0000938"	""	"P25619 P38079 Q12117"	"A3LUH9"	"O74870"
"OG0000939"	""	"P40075 Q6Q595"	"A3LTB0"	"O60119 Q10484"
"OG0000941"	""	"P40567"	"A3LPR6 A3LPV2"	"O74968 Q7LL14"
"OG0000942"	""	"P53058 Q08910"	""	"P0CU12 P0CU13 Q9P7U4"
"OG0000943"	""	"Q02770"	"A3LTY1"	"O42941 P87051 Q09928"
"OG0000953"	"W0T3R8"	"Q06410"	"A3LX29"	"O42651"
"OG0000954"	"W0TA05"	"P38862"	"A3LPA1"	"O43069"
"OG0000955"	"W0TFN1"	"Q12527"	"A3GG92"	"O14261"
"OG0000956"	"W0TIW1"	"Q12142"	"A3LZS3"	"O74312"
"OG0000957"	"W0TA43"	"Q06628"	"A3LQY1"	"O36019"
"OG0000958"	"W0TGM7"	"P53867"	"A3LQU0"	"Q9P373"
"OG0000959"	"W0TEF9"	"P40344"	"A3LX85"	"O43035"
"OG0000960"	"W0T4V8"	"Q12380"	"A3LR68"	"O74971"
"OG0000961"	"W0T4C1"	"P38316"	"A3GI31"	"Q9US24"
"OG0000962"	"W0T9X4"	"P53104"	"A3GH58"	"Q9Y7T4"
"OG0000963"	"W0TCD0"	"P53855"	"A3LT28"	"O94649"
"OG0000964"	"W0TD11"	"Q02948"	"A3GGG2"	"P87117"
"OG0000965"	"W0THY6"	"P38182"	"A3GFU8"	"O94272"
"OG0000966"	"W0TC49"	"Q02354"	"A3LQF0"	"O60188"
"OG0000967"	"W0T728"	"Q07508"	"A3LSU0"	"Q9USM4"
"OG0000968"	"W0TD42"	"P38830"	"A3LMZ7 A3M081"	""
"OG0000969"	"W0T4N4"	"P08067"	"A3GHJ9"	"Q09154"
"OG0000970"	"W0T2T1"	"P23255"	"A3LTD9"	"P87121"
"OG0000971"	"W0T7W8"	"Q00618"	"A3LXF7"	"O94412"
"OG0000972"	"W0T515"	"P38206"	"A3M078"	"O94302"
"OG0000973"	"W0TGZ2"	"P39517"	"A3LWX3"	"Q09181"
"OG0000974"	"W0T4T4"	"P39705"	"A3LS94"	"O74500"
"OG0000975"	"W0T766"	"Q02457"	"A3LVU7"	"Q6E434"
"OG0000976"	"W0TDR7"	"P28007"	"A3GHP2"	"Q06975"
"OG0000977"	"W0T8W8"	"P32855"	"A3LUX9"	"O74562"
"OG0000978"	"W0T6J7"	"P53839"	"A3LTW9"	"O14075"
"OG0000979"	"W0TEA9"	"P40051"	"A3LPU9"	"Q10439"
"OG0000980"	"W0TG74"	"Q12094"	"A3LNC2"	"Q10409"
"OG0000981"	"W0THX9"	"P11972"	"A3LVE1"	"Q09777"
"OG0000982"	"W0T523"	"P22137"	"A3LV67"	"Q10161"
"OG0000983"	"W0T3P7"	"Q08496"	"A3LNH2"	"O74991"
"OG0000984"	"W0T5E2"	"Q08208"	"A3LT57"	"O13741"
"OG0000985"	"W0TBX1"	"P19262"	"A3LYY4"	"O94681"
"OG0000986"	"W0T4H7"	"P06174"	"A3LW75"	"P87214"
"OG0000987"	"W0T8J0"	"Q03829"	"A3LSY5"	"Q76PC3"
"OG0000988"	"W0TA83"	"Q03327"	"A3LVJ9"	"Q9UTF8"
"OG0000989"	"W0TFQ4"	"Q08912 Q08989 Q08990"	""	""
"OG0000990"	"W0T8C4"	"P39013"	"A3M008"	"Q9USZ7"
"OG0000991"	"W0T469"	"P46963"	"A3LWA0"	"Q9USJ8"
"OG0000992"	"W0TFA3"	"P35180"	"A3LRA9"	"O14225"
"OG0000993"	"W0T2L5"	"P22768"	"A3GH36"	"O94354"
"OG0000994"	"W0TG96"	"Q04491"	"A3LNW3"	"O94319"
"OG0000995"	"W0TF82"	"P40516"	"A3LW39"	"Q9P7Z3"
"OG0000996"	"W0T6E2"	"P25574"	"A3LZ74"	"O13981"
"OG0000998"	"W0T8B2"	"P38249"	"A3GI11"	"O74760"
"OG0000999"	"W0TE27"	"Q08004"	"A3LR92"	"Q9P370"
"OG0001000"	"W0TDB6"	"P52920"	"A3GF66"	"O94442"
"OG0001001"	"W0TGQ2"	"P11433"	"A3LZC0"	"P40995"
"OG0001002"	"W0TG68"	"Q00453 Q12132"	"A3LXT5"	""
"OG0001003"	"W0TH20"	"P09436"	"A3LTD7"	"O13651"
"OG0001004"	"W0T926"	"P36521"	"A3LS78"	"Q09724"
"OG0001005"	"W0T5C8"	"P22149 Q08957"	"A3LYD9"	""
"OG0001006"	"W0T5Z5"	"P32913"	"A3GFG9"	"Q9URW7"
"OG0001007"	"W0TCU1"	"Q12188"	"A3GG34"	"P36626"
"OG0001008"	"W0TF10"	"P23724"	"A3GGN3"	"Q9UQY2"
"OG0001009"	"W0T4E0"	"P38902"	"A3LX93"	"P87123"
"OG0001010"	"W0T7L6"	"Q04437"	"A3LQS3"	"Q9HGM8"
"OG0001011"	"W0TAT3"	"P38337"	"A3GFR0"	"Q10321"
"OG0001012"	"W0TAX3"	"P32501"	"A3LQE7"	"P56287"
"OG0001014"	"W0TCJ3"	"P40825"	"A3LRI3"	"O13914"
"OG0001015"	"W0TCU8"	"P53088"	"A3GGB3"	"O94282"
"OG0001016"	"W0TEZ5"	"Q06892"	"A3GHN0"	"Q9UT98"
"OG0001017"	"W0TE42"	"P53148"	"A3LTB2"	"O59757"
"OG0001018"	"W0TCL2"	"Q06078"	"A3LUK4"	"O14053"
"OG0001019"	"W0TI51"	"P15703"	"A3GGJ9"	"O13990"
"OG0001020"	"W0TEX1"	"P38250"	"A3LWT2"	"O13621"
"OG0001021"	"W0THY2"	"P50113"	"A3M015"	"Q10474"
"OG0001022"	"W0T7N0"	"P32839"	"A3LY03"	"Q9P6Q3"
"OG0001023"	"W0THZ5"	"P40502"	"A3LXV5"	"Q9UUF4"
"OG0001024"	"W0T241 W0T928 W0TES8"	"P53744"	""	""
"OG0001025"	"W0TAA7"	"P53110"	"A3LRY6"	"Q9HDZ0"
"OG0001026"	"W0TD01"	"P25270"	"A3LT09"	"O94631"
"OG0001027"	"W0TCN8"	"P41835"	"A3LUC4"	"P40386"
"OG0001028"	"W0TDQ5"	"Q04675"	"A3LXI8"	"Q7LKV3"
"OG0001029"	"W0T508"	"P37263"	"A3GIE4"	"O94311"
"OG0001030"	"W0T9G2"	"P53128"	"A3LUC7"	"Q10258"
"OG0001031"	"W0TIA5"	"Q05040"	"A3LS41"	"O94560"
"OG0001032"	"W0T440"	"P39968"	"A3GF68"	"O43028"
"OG0001033"	"W0TG73"	"P38637"	"A3LPS7"	"P38937"
"OG0001034"	"W0TD63"	"O14467"	"A3GGS4"	"O94700"
"OG0001035"	"W0TGX4"	"Q12059"	"A3LX01"	"Q9UT93"
"OG0001036"	"W0TDE7"	"Q04636"	"A3LUL0"	"O94529"
"OG0001037"	"W0TF21"	"P40335"	"A3LZZ8"	"Q10243"
"OG0001038"	"W0T9H3"	"P00427"	"A3LN77"	"Q9UTF6"
"OG0001039"	"W0TD51"	"P32335"	"A3GGW9"	"Q9UTB4"
"OG0001040"	"W0T8W7"	"P09950"	"A3LV77"	"O14092"
"OG0001041"	"W0TDV8"	"P53868"	"A3LPM8"	"Q9P7Q9"
"OG0001042"	"W0T774"	"Q07834"	"A3GHF4"	"O74359"
"OG0001043"	"W0TBY8"	"P25356"	"A3LQJ7"	"Q7LKZ7"
"OG0001044"	"W0TAG1"	"P38310"	"A3LP97 A3M0G3"	""
"OG0001045"	"W0T6S2"	"P53008"	"A3GH62"	"O14255"
"OG0001046"	"W0TCE3"	"P40509"	"A3LZI0"	"O74767"
"OG0001047"	"W0TE37"	"P38932"	"A3LRH9"	"Q09805"
"OG0001048"	"W0TCI7"	"P46669"	"A3LV72"	"O43036"
"OG0001049"	"W0T492"	"Q96VH5"	"A3LS66"	"Q9HFF0"
"OG0001050"	"W0T581"	"Q04013"	"A3LUU8"	"P78763"
"OG0001051"	"W0T4D5"	"Q08058"	"A3LVC0"	"Q9USM9"
"OG0001052"	"W0TIM3"	"P38167 Q12734"	"A3LPR8"	""
"OG0001053"	"W0TA35"	"P46951"	"A3LSY1"	"O94441"
"OG0001054"	"W0TFV6"	"P43621"	"A3LVB0"	"O74496"
"OG0001055"	"W0TDT8"	"P53930"	"A3LSB8"	"Q10319"
"OG0001056"	"W0TH88"	"P50110"	"A3LTE5"	"Q9UUA5"
"OG0001057"	"W0T452"	"Q02767"	"A3LU01"	"O13872"
"OG0001058"	"W0T9B6"	"P69850"	"A3LXY6"	"P62505"
"OG0001059"	"W0T2U3"	"P39104"	"A3LZ98"	"Q10366"
"OG0001060"	"W0T7D7"	"P36048"	"A3LU88"	"O94316"
"OG0001061"	"W0T6F9"	"P25344"	"A3GHA9"	"P36622"
"OG0001062"	"W0TDS6"	"Q03940"	"A3GEZ1"	"Q9C0X6"
"OG0001063"	"W0T382"	"P38708"	"A3LY68"	"O60155"
"OG0001064"	"W0T837"	"P24482"	"A3GH04"	"O94263"
"OG0001065"	"W0TDM6"	"Q12429"	"A3LRQ5"	"Q9USQ7"
"OG0001066"	"W0T982"	"P40354"	"A3LRP9"	"O60178"
"OG0001067"	"W0TDV4"	"Q12434"	"A3LZR4"	"O14224"
"OG0001068"	"W0TCK5"	"P32900 P50078"	"A3LS64"	""
"OG0001069"	"W0T5P3"	"P19882"	"A3LXU1"	"Q09864"
"OG0001070"	"W0TIM9"	"P33893"	"A3GFV6"	"Q9UT77"
"OG0001071"	"W0T6E1"	"Q12116"	"A3GHX2"	"Q9HDY3"
"OG0001072"	"W0T721"	"Q3E7B7"	"A3LX16"	"Q9UTF0"
"OG0001073"	"W0T9V2"	"P53011"	"A3LVW9"	"Q10099"
"OG0001074"	"W0T5P0"	"P36059"	"A3LYI7"	"O94347"
"OG0001075"	"W0TDU4"	"Q99394"	"A3LWB7"	"Q09784"
"OG0001076"	"W0T601"	"P40089"	"A3LWP7"	"O42978"
"OG0001077"	"W0T3W1"	"P33339"	"A3LUC2"	"O74458"
"OG0001078"	"W0T6X9"	"P14737"	"A3LVP6"	"P87074"
"OG0001079"	"W0TE93"	"P47095"	"A3LVM9"	"Q9HE08"
"OG0001080"	"W0T7P6"	"P40085"	"A3LUY6"	"O60067"
"OG0001081"	"W0TB56"	"P25655"	"A3LRK4"	"P87112"
"OG0001082"	"W0TDK9"	"Q00684"	"A3LUZ0"	"Q9P7H1"
"OG0001083"	"W0TF07"	"P38793"	"A3LTN2"	"Q8TFG7"
"OG0001084"	"W0T8B8"	"P41735"	"A3LZ66"	"O74826"
"OG0001085"	"W0TF59"	"P47051"	"A3LTC6"	"O13629"
"OG0001086"	"W0TBH5"	"P49095"	"A3LQC8"	"Q09785"
"OG0001087"	"W0TE83"	"P40545"	"A3GF99"	"Q10184"
"OG0001088"	"W0TCB3"	"P13134"	"A3LYR4"	"Q09175"
"OG0001089"	"W0TFV1"	"P38629"	"A3LVH9"	"O14003"
"OG0001090"	"W0T865"	"Q12374"	"A3LPU4"	"O74963"
"OG0001091"	"W0TGR8"	"P32453"	"A3LWI5"	"P87127"
"OG0001092"	"W0T9U3"	"P25646"	"A3LSJ0"	"O14156"
"OG0001093"	"W0T474"	"P29478"	"A3LV98"	"O94407"
"OG0001094"	"W0T838"	"P53893"	"A3LWX5"	"O74945"
"OG0001095"	"W0T4A5"	"Q04969"	"A3LSW1"	"Q9UTQ9"
"OG0001096"	"W0TDZ7"	"P47075"	"A3LTK8"	"P78810"
"OG0001097"	"W0T2S0"	"P53836 Q06315"	"A3GHR5"	""
"OG0001098"	"W0T5H9"	"P38326"	"A3LRF9"	"O74897"
"OG0001099"	"W0T649"	"P38912"	"A3LW99"	"P55877"
"OG0001100"	"W0T3M4"	"P48510"	"A3LZ40"	"Q10169"
"OG0001101"	"W0TDJ6"	"Q12440"	"A3LQ64"	"Q874R3"
"OG0001102"	"W0TGK0"	"Q06706"	"A3GF58"	"O59704"
"OG0001103"	"W0TK92"	"Q03429"	"A3LNG8"	"G2TRP8"
"OG0001104"	"W0TBA7"	"P53983 P54074"	"A3LYW0"	""
"OG0001105"	"W0T8B7"	"P04803"	"A3LVM5"	"O42875"
"OG0001106"	"W0TI32"	"Q03048"	"A3LZF5"	"P78929"
"OG0001107"	"W0T8K7"	"P50276"	"A3GHP8 A3LTS7"	""
"OG0001108"	"W0TFI5"	"Q07915"	"A3LSX2"	"Q10353"
"OG0001109"	"W0TA64"	"P57744"	"A3GET6"	"Q09783"
"OG0001110"	"W0TFQ5"	"P53952"	"A3LRW4"	"Q9UUH6"
"OG0001111"	"W0TDC0"	"P38741"	"A3LTL5"	"Q10277"
"OG0001112"	"W0TEQ1"	"P52917"	"A3LVF1"	"Q09803"
"OG0001113"	"W0TKF9"	"P05694"	"A3LVA0"	"Q9UT19"
"OG0001114"	"W0TBX9"	"P13663"	"A3LUL1"	"P78780"
"OG0001115"	"W0TFA2"	"P50107"	"A3GFD6"	"Q09751"
"OG0001116"	"W0TDX5"	"P32179"	"A3LUV9"	"O94505"
"OG0001117"	"W0T8U5"	"P37293"	"A3LMZ5"	"Q9URV4"
"OG0001118"	"W0T7Y3"	"P38737"	"A3LZJ2"	"Q9P7H8"
"OG0001119"	"W0T7I5"	"P33201"	"A3LXP5"	"Q9USZ6"
"OG0001120"	"W0TGL2"	"P40156"	"A3LTV8"	"O14211"
"OG0001121"	"W0THI2"	"P53932 Q99252"	"A3LUK8"	""
"OG0001122"	"W0THU7"	"P16451"	"A3GI36"	"O94709"
"OG0001123"	"W0THE5"	"P53944"	"A3M091"	"O14028"
"OG0001124"	"W0TB58"	"Q06137"	"A3LR80"	"Q9UTK9"
"OG0001125"	"W0TF81"	"P47158"	"A3LNW4"	"Q09929"
"OG0001126"	"W0T247"	"P0CY08 P0CY09 P0CY13"	""	""
"OG0001127"	"W0T5N5"	"Q02772"	"A3LP22"	"O42921"
"OG0001128"	"W0T5P9"	"P38139"	"A3GGR6"	"P87056"
"OG0001129"	"W0TBS9"	"P53262"	"A3LU52"	"Q9Y7R6"
"OG0001130"	"W0TC01"	"Q06696"	"A3LUC0"	"O43038"
"OG0001131"	"W0TBN2"	"P48362"	"A3GGM1"	"Q10498"
"OG0001132"	"W0TBZ1"	"P31755"	"A3LQ00"	"Q9UTR6"
"OG0001133"	"W0TG95"	"Q12334"	"A3LNZ2"	"Q9HDY7"
"OG0001134"	"W0T3J3"	"P36022"	"A3LZU2"	"O13290"
"OG0001135"	"W0TAJ0"	"Q12016"	"A3LV61"	"O43073"
"OG0001136"	"W0T8H3"	"P53235"	"A3LR90"	"O74965"
"OG0001137"	"W0TEW5"	"P08425"	"A3LMT5"	"O74952"
"OG0001138"	"W0TCV9"	"Q07688"	"A3LPM7"	"O94321"
"OG0001139"	"W0TB91"	"P40413"	"A3LYE9"	"Q9UTM4"
"OG0001140"	"W0T6X1"	"P29704"	"A3LTQ5"	"P36596"
"OG0001141"	"W0T9H7"	"P15442"	"A3LWI3"	"Q9HGN1"
"OG0001142"	"W0TCA1"	"P48558"	"A3LXU5"	"O74888"
"OG0001143"	"W0T8V7"	"P36519"	"A3LYH4"	"O14337"
"OG0001144"	"W0T3X1"	"P38636"	"A3LPB2"	"O74735"
"OG0001145"	"W0TGN7"	"P40459"	"A3LQZ2"	"Q09673"
"OG0001146"	"W0T9A6"	"P53237"	"A3LWC6"	"O74769"
"OG0001147"	"W0TAW0"	"P07149"	"A3LZH0"	"Q9UUG0"
"OG0001148"	"W0TFX0"	"P47149"	"A3M0H0"	"Q09858"
"OG0001149"	"W0T9C0"	"P00546"	"A3LXZ6"	"P04551"
"OG0001150"	"W0TDY2"	"P20967"	"A3LZW8"	"O74378"
"OG0001151"	"W0T7R9"	"P32656"	"A3LSU6"	"P87305"
"OG0001152"	"W0T7Z9"	"P53212"	"A3LT61"	"O43075"
"OG0001153"	"W0TF17"	"P06777"	"A3LW79"	"P36617"
"OG0001154"	"W0TD17"	"P28000"	"A3LQW8"	"Q09177"
"OG0001155"	"W0TIB1"	"P35735"	"A3GGF7"	"Q9Y7U1"
"OG0001156"	"W0TG17"	"P40554"	"A3GFM6"	"Q9P3U9"
"OG0001157"	"W0TFR7"	"P43558"	"A3LR91"	"O13974"
"OG0001158"	"W0T8F9"	"Q05543"	"A3GIE2"	"O74814"
"OG0001159"	"W0T398 W0T702"	"Q05905"	"A3LZI2"	""
"OG0001160"	"W0T6M7"	"Q06390"	"A3LZ67"	"O74958"
"OG0001161"	"W0THZ6"	"P40070"	"A3LPF4"	"O14352"
"OG0001162"	"W0T9W3"	"P14540"	"A3GG96"	"P36580"
"OG0001163"	"W0T4D6"	"Q04401"	"A3LUS2"	"Q9P7Y2"
"OG0001164"	"W0T3M8"	"P25582"	"A3LXQ0"	"O42832"
"OG0001165"	"W0T3I3"	"P29056"	"A3LP89"	"Q9P6R0"
"OG0001166"	"W0TCM2"	"P30619"	"A3LPF8"	"O94590"
"OG0001167"	"W0T7D0"	"P06783"	"A3GFV5"	"P31397"
"OG0001168"	"W0TDF9"	"Q04958"	"A3LYZ4"	"Q9USJ4"
"OG0001169"	"W0TA88"	"Q03433"	"A3GG81"	"O59669"
"OG0001171"	"W0T9I0"	"P33411"	"A3LMZ1"	"O94406"
"OG0001172"	"W0TGJ8"	"O13525"	"A3LXH5"	"O94453"
"OG0001173"	"W0TK60"	"P06182"	"A3LZC6"	"O74794"
"OG0001174"	"W0TGM4"	"P80210"	"A3LYS9"	"Q02787"
"OG0001175"	"W0TD14"	"P06774"	"A3LWW9"	"P24488"
"OG0001176"	"W0TD21"	"P53925"	"A3LUQ4"	"O13912"
"OG0001177"	"W0T986"	"Q12019"	"A3LSZ4"	"O94248"
"OG0001178"	"W0T542"	"Q04199"	"A3LVB4"	"O13985"
"OG0001179"	"W0TBS8"	"P36053"	"A3LY08"	"O13868"
"OG0001180"	"W0TAA3"	"P38991"	"A3LT96"	"O59790"
"OG0001181"	"W0TCI2"	"P38336"	"A3LTC7"	"Q9P7W9"
"OG0001182"	"W0T9V0"	"Q06152"	"A3LYF8"	"C6Y4A5"
"OG0001183"	"W0TFH7"	"Q05027"	"A3LVK8"	"Q09869"
"OG0001184"	"W0TCI0"	"P25337"	"A3GHM1"	"O74772"
"OG0001185"	"W0T9V7"	"Q99287"	"A3LWM9"	"Q9UTE0"
"OG0001186"	"W0T764"	"P47141"	"A3LVR9"	"O42919"
"OG0001187"	"W0TF61"	"P38682"	"A3LNF6"	"Q10367"
"OG0001188"	"W0T7P8"	"P40302"	"A3LPI7"	"O14250"
"OG0001189"	"W0TB59"	"P39702"	"A3LP33"	"O13756"
"OG0001190"	"W0TCD2"	"P23179"	"A3LTU3"	"P40384"
"OG0001191"	"W0T883"	"P53598"	"A3GFF3"	"O13750"
"OG0001192"	"W0TJS4"	"Q03338"	"A3LNA4"	"Q09856"
"OG0001193"	"W0TG23"	"P32897"	"A3LU66"	"Q9USM7"
"OG0001194"	"W0T7P4 W0TEB7"	"Q03770"	"A3LUI5"	""
"OG0001195"	"W0T8Q3"	"Q03957"	"A3LUH2"	"O14098"
"OG0001196"	"W0T3L9"	"P22135"	"A3LR77"	"Q9UT16"
"OG0001197"	"W0T626"	"P07274"	"A3LQH2"	"P39825"
"OG0001198"	"W0TI12"	"P40491"	"A3LYS7"	"G2TRM0"
"OG0001199"	"W0TH63"	"P15367"	"A3LXS1"	"O74323"
"OG0001200"	"W0T644"	"P50861"	"A3GFV7"	"Q9UUB1"
"OG0001201"	"W0TED3"	"P38110"	"A3LT76"	"O74630"
"OG0001202"	"W0TB54"	"P32387"	"A3GFG4"	"Q09727"
"OG0001203"	"W0T8E2"	"Q05636"	"A3LTY6"	"O74918"
"OG0001204"	"W0TCJ8"	"P22203"	"A3LV74"	"O13687"
"OG0001205"	"W0TIA0"	"P35728"	"A3GGA6"	"O94264"
"OG0001206"	"W0TA79"	"P10614"	"A3LZ81"	"Q09736"
"OG0001207"	"W0TDX7"	"P40464"	"A3LSC5"	"O13660"
"OG0001208"	"W0TBI5"	"Q12347"	"A3GGB5"	"O74531"
"OG0001209"	"W0T8I0"	"P11747"	"A3LY50"	"O60076"
"OG0001210"	"W0T5L5"	"P32628"	"A3LRM3"	"O74803"
"OG0001211"	"W0T9A3"	"Q06675"	"A3LV66"	"Q10290"
"OG0001212"	"W0TF23"	"Q03786"	"A3LUB2"	"Q10242"
"OG0001213"	"W0TAS0"	"P39724"	"A3LY28"	"Q9USK1"
"OG0001214"	"W0T7B4"	"P41895"	"A3GGM2"	"O94416"
"OG0001215"	"W0T872"	"P41817 P53147"	"A3LWD3"	""
"OG0001216"	"W0TAF8"	"P32898"	"A3LQ15"	"O42908"
"OG0001217"	"W0TGC9"	"P42840"	"A3GIA5"	"P54069"
"OG0001218"	"W0TA80"	"Q99312"	"A3GFF9"	"O14349"
"OG0001219"	"W0TGP6"	"P48567"	"A3LZC9"	"O59721"
"OG0001220"	"W0TFR8"	"Q99220"	"A3GGW8"	"Q9UTC8"
"OG0001221"	"W0TFC8"	"P24783"	"A3LQW7"	"P24782"
"OG0001222"	"W0T2F8"	"P36528"	"A3LZB7"	"O94398"
"OG0001223"	"W0TG08"	"P33767"	"A3GFM5"	"O59866"
"OG0001224"	"W0TF78"	"P40045"	"A3LNE0"	"Q9UTS6"
"OG0001225"	"W0T8A8"	"P21264"	"A3GHI9"	"P15567"
"OG0001226"	"W0TF66"	"P53900"	"A3GF37"	"Q9UTD4"
"OG0001227"	"W0TDJ9"	"P28321"	"A3LRT0"	"O94305"
"OG0001228"	"W0T6U1"	"P47088"	"A3GGM5"	"Q9P6R5"
"OG0001229"	"W0TDQ2"	"P33312"	"A3GI07"	"Q9P7L3"
"OG0001230"	"W0TF51"	"P40078"	"A3LQ06"	"Q9UU79"
"OG0001231"	"W0TE96"	"Q12220"	"A3LQB6"	"P87177"
"OG0001232"	"W0TAM4"	"Q04225"	"A3GI66"	"Q9P783"
"OG0001233"	"W0TAF9"	"P89105"	"A3LWD9"	"O42668"
