Accession	Description	PrimaryGeneName	GeneName	mass_ratio_repl1	mass_ratio_repl2	mass_ratio_repl3
P16474	Endoplasmic reticulum chaperone BiP OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAR2 PE=1 SV=1	KAR2	YJL034W	0.000629563990802621	0.000624650287172624	0.000592626757363848
P16521	Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4	YEF3	YLR249W	0.010056495303121	0.00992767444671979	0.00982983284325982
P16522	Anaphase-promoting complex subunit CDC23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC23 PE=1 SV=1	CDC23	YHR166C	5.01841766553218e-06	4.68168436734997e-06	4.68570006536923e-06
P16547	Mitochondrial outer membrane protein OM45 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OM45 PE=1 SV=2	OM45	YIL136W	2.13783683752198e-05	2.2763376958965e-05	2.06547838721918e-05
P16550	Protein APA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APA1 PE=1 SV=4	APA1	YCL050C	0.000636931238728774	0.000627977955782062	0.000629422236145844
P16603	NADPH--cytochrome P450 reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NCP1 PE=1 SV=3	NCP1	YHR042W	0.000132889155404488	0.00013507728893047	0.00013536665723524
P16622	Ferrochelatase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEM15 PE=1 SV=1	HEM15	YOR176W	4.26889301320289e-05	3.99290229536501e-05	4.00262793293686e-05
P16639	Arginyl-tRNA--protein transferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATE1 PE=1 SV=2	ATE1	YGL017W	3.17124820219573e-06	3.15509779663925e-06	3.64456390115465e-06
P16649	General transcriptional corepressor TUP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TUP1 PE=1 SV=2	TUP1	YCR084C	0.000149896984657799	0.000141610958744382	0.000142201309241972
P16658	tRNA-splicing endonuclease subunit SEN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEN2 PE=1 SV=1	SEN2	YLR105C	2.25541826014827e-05	2.26253450127864e-05	2.36307889963658e-05
P16661	Chitobiosyldiphosphodolichol beta-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALG1 PE=1 SV=1	ALG1	YBR110W	2.07262732489019e-05	2.01830268981365e-05	1.99787359413615e-05
P16664	Guanine nucleotide exchange factor subunit RGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RGP1 PE=1 SV=2	RGP1	YDR137W	3.6243108674972e-05	3.79993276037541e-05	3.74406990069309e-05
P16861	ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PFK1 PE=1 SV=1	PFK1	YGR240C	0.00176854840391029	0.00173574425458982	0.00173240930960029
P16862	ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PFK2 PE=1 SV=4	PFK2	YMR205C	0.00183725253482288	0.00178967190651302	0.00183347020820331
P16892	Mitogen-activated protein kinase FUS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUS3 PE=1 SV=2	FUS3	YBL016W	1.70644452938269e-05	1.77187635963985e-05	1.80046646932832e-05
P17064	Purine-cytosine permease FCY2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FCY2 PE=1 SV=2	FCY2	YER056C	0.000160514727111189	0.000157967500993324	0.000159433093226503
P17065	Rab guanine nucleotide exchange factor SEC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC2 PE=1 SV=1	SEC2	YNL272C	9.54861447244639e-06	9.63633102351974e-06	9.50301310745658e-06
P17076	60S ribosomal protein L8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL8A PE=1 SV=4	RPL8A	YHL033C	0.000599911310512233	0.000630839761933778	0.000612745932172824
P17106	Centromere-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CBF1 PE=1 SV=2	CBF1	YJR060W	1.31272822274447e-05	1.30236629377138e-05	1.28953090043142e-05
P17119	Kinesin-like protein KAR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAR3 PE=1 SV=1	KAR3	YPR141C	2.38018379061345e-05	2.32089534160201e-05	2.24583427201031e-05
P17121	GTPase-activating protein SAC7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAC7 PE=1 SV=2	SAC7	YDR389W	1.17085469505364e-05	1.22067570160064e-05	1.20762293470033e-05
P17157	Cyclin-dependent protein kinase PHO85 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHO85 PE=1 SV=2	PHO85	YPL031C	4.31678099878161e-05	4.30862156093895e-05	4.21537485834583e-05
P17255	V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA1 PE=1 SV=3	VMA1	YDL185W	0.00185886205208907	0.00174318011961599	0.00176830980464021
P17423	Homoserine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THR1 PE=1 SV=4	THR1	YHR025W	0.000357757509241268	0.000354884882777765	0.000344562459786969
P17442	Phosphate system positive regulatory protein PHO81 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHO81 PE=1 SV=2	PHO81	YGR233C	2.11379466136717e-05	2.23388070313327e-05	2.15354851664149e-05
P17505	Malate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDH1 PE=1 SV=2	MDH1	YKL085W	0.000137265959051797	0.000136171317826054	0.000144546621604503
P17536	Tropomyosin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPM1 PE=1 SV=1	TPM1	YNL079C	8.53197446882471e-05	8.19921901036687e-05	8.11043933519568e-05
P17555	Adenylyl cyclase-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRV2 PE=1 SV=1	SRV2	YNL138W	0.00010576211135118	0.000105023394616397	0.000102719143152411
P17558	37S ribosomal protein PET123, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PET123 PE=1 SV=1	PET123	YOR158W	2.58222417762503e-05	2.71091624350214e-05	2.57804277642081e-05
P17629	THO complex subunit HPR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HPR1 PE=1 SV=2	HPR1	YDR138W	2.26297841839779e-05	2.18176338701878e-05	2.15588822970313e-05
P17649	4-aminobutyrate aminotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UGA1 PE=1 SV=2	UGA1	YGR019W	1.89325921415513e-05	1.81824486449587e-05	1.82759549480099e-05
P17695	Glutaredoxin-2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GRX2 PE=1 SV=3	GRX2	YDR513W	5.84671183633071e-05	5.63902390841854e-05	6.01328352926333e-05
P17709	Glucokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLK1 PE=1 SV=1	GLK1	YCL040W	6.90179444032919e-05	6.51113442329016e-05	6.89259030865257e-05
P17883	Superkiller protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SKI3 PE=1 SV=2	SKI3	YPR189W	6.44255860712096e-05	6.55199411440608e-05	6.46220818211484e-05
P17890	DNA-directed RNA polymerase III subunit RPC7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPC31 PE=1 SV=1	RPC31	YNL151C	5.27947232056859e-06	5.47867119716766e-06	5.67122965433871e-06
P17891	Clathrin light chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CLC1 PE=1 SV=1	CLC1	YGR167W	5.78926604215605e-05	5.91094516984157e-05	5.83449362353796e-05
P17898	Cholinephosphotransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPT1 PE=1 SV=3	CPT1	YNL130C	4.46796359086301e-05	4.53898428970406e-05	4.45190977147822e-05
P17967	Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDI1 PE=1 SV=2	PDI1	YCL043C	0.000764437961159043	0.000750442234070423	0.000770854932837645
P18238	ADP,ATP carrier protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AAC3 PE=1 SV=1	AAC3	YBR085W	0.00125584508845709	0.00125099656062159	0.00147116730672763
P18239	ADP,ATP carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PET9 PE=1 SV=2	PET9	YBL030C	0.00164215551631367	0.0017331216278854	0.0016518993793317
P18408	Phosphoadenosine phosphosulfate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET16 PE=1 SV=2	MET16	YPR167C	0.000105879393547323	8.88355224969843e-05	9.70316416393187e-05
P18409	Mitochondrial distribution and morphology protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM10 PE=1 SV=5	MDM10	YAL010C	6.05090998238266e-06	5.72748885671029e-06	5.11053682207851e-06
P18410	Sporulation-specific protein SPO7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPO7 PE=1 SV=1	SPO7	YAL009W	4.65125642650246e-07	4.82552206578834e-07	5.07954390109822e-07
P18411	Protein FUN14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUN14 PE=1 SV=3	FUN14	YAL008W	5.10609494289117e-06	5.26573049794061e-06	5.40238397431994e-06
P18480	SWI/SNF chromatin-remodeling complex subunit SNF5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNF5 PE=1 SV=3	SNF5	YBR289W	1.00876427893298e-05	9.81578229544168e-06	9.74883929861289e-06
P18494	Nitrogen regulatory protein GLN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLN3 PE=1 SV=2	GLN3	YER040W	3.6964209831114e-06	2.74907926869343e-06	3.42497150980467e-06
P18496	Mitochondrial ATPase complex subunit ATP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP10 PE=1 SV=2	ATP10	YLR393W	4.25487648810932e-06	4.36562854871435e-06	4.11652277328682e-06
P18544	Acetylornithine aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARG8 PE=1 SV=1	ARG8	YOL140W	0.000167116645655368	0.000164562532370204	0.000161669682378647
P18562	Uracil phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUR1 PE=1 SV=2	FUR1	YHR128W	0.000219049371615064	0.000215752722389217	0.000216686680837441
P18634	Arrestin-related trafficking adapter 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ART10 PE=1 SV=3	ART10	YLR392C	1.27794958605396e-05	1.20136909405995e-05	1.25406225968929e-05
P18759	Vesicular-fusion protein SEC18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC18 PE=1 SV=2	SEC18	YBR080C	8.83359098141613e-05	8.87872082893806e-05	8.85296758893505e-05
P18851	Guanine nucleotide-binding protein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE4 PE=1 SV=2	STE4	YOR212W	7.4776785303419e-06	7.75460614816603e-06	7.48605541773697e-06
P18852	Guanine nucleotide-binding protein subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE18 PE=1 SV=1	STE18	YJR086W	7.4303493708105e-06	7.34235038844161e-06	7.15284126138603e-06
P18888	Transcription regulatory protein SNF6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNF6 PE=1 SV=1	SNF6	YHL025W	1.15317916463728e-05	1.10447397265741e-05	1.18270428816209e-05
P18899	Stress protein DDR48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DDR48 PE=1 SV=4	DDR48	YMR173W	2.38983253386476e-05	2.36061349284704e-05	2.31545446817261e-05
P18900	Hexaprenyl pyrophosphate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COQ1 PE=1 SV=1	COQ1	YBR003W	1.48539604244715e-05	1.48114075912003e-05	1.44623816527779e-05
P18962	Dipeptidyl aminopeptidase B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DAP2 PE=1 SV=2	DAP2	YHR028C	5.82185710754051e-05	5.30787060354526e-05	5.61504208913285e-05
P18963	Inhibitory regulator protein IRA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IRA1 PE=1 SV=2	IRA1	YBR140C	9.99403854498155e-05	0.000104416376573574	9.94712374766211e-05
P19073	Cell division control protein 42 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC42 PE=1 SV=2	CDC42	YLR229C	0.000130070894280645	0.000132359239865982	0.00012453416124864
P19097	Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2	FAS2	YPL231W	0.0018009753729414	0.00183354018312428	0.00177623750911067
P19145	General amino-acid permease GAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAP1 PE=1 SV=2	GAP1	YKR039W	3.19779084652284e-05	3.48899815806524e-05	3.72384547669629e-05
P19146	ADP-ribosylation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARF2 PE=1 SV=3	ARF2	YDL137W	2.67058813620266e-05	2.70926658986613e-05	2.61158329916486e-05
P19158	Inhibitory regulator protein IRA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IRA2 PE=1 SV=2	IRA2	YOL081W	3.60563702733865e-05	3.99470819018687e-05	3.70743276695999e-05
P19262	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KGD2 PE=1 SV=2	KGD2	YDR148C	0.000104738569370281	0.000109783405088691	0.00010711063014132
P19263	Mediator of RNA polymerase II transcription subunit 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RGR1 PE=1 SV=2	RGR1	YLR071C	2.86896578286256e-05	2.86307146535239e-05	2.9387348995641e-05
P19358	S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAM2 PE=1 SV=3	SAM2	YDR502C	0.00291070169034234	0.0027172232183318	0.00275269751642532
P19414	Aconitate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACO1 PE=1 SV=2	ACO1	YLR304C	0.00114559328622212	0.00117028355899923	0.00114248204168343
P19454	Casein kinase II subunit alpha' OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CKA2 PE=1 SV=2	CKA2	YOR061W	7.68752713651643e-05	7.93657827300854e-05	7.56402283075994e-05
P19516	Cytochrome c oxidase assembly protein COX11, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX11 PE=1 SV=2	COX11	YPL132W	7.03137748410111e-06	7.00409322637049e-06	7.21861709735222e-06
P19524	Myosin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MYO2 PE=1 SV=1	MYO2	YOR326W	0.000125717532286963	0.000128416562061455	0.000126897804276149
P19658	Exocyst complex component EXO70 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EXO70 PE=1 SV=1	EXO70	YJL085W	1.06076381024593e-05	1.09125639359388e-05	1.09667051782778e-05
P19659	Mediator of RNA polymerase II transcription subunit 15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAL11 PE=1 SV=3	GAL11	YOL051W	3.20706332525392e-05	3.38997848607636e-05	3.31790584236421e-05
P19735	Pre-mRNA-splicing factor 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRP6 PE=1 SV=1	PRP6	YBR055C	1.47963582540012e-05	1.48272609681643e-05	1.48881014516545e-05
P19736	Pre-mRNA-splicing factor PRP9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRP9 PE=1 SV=1	PRP9	YDL030W	4.81461532157097e-06	5.03194816960777e-06	4.97269980421169e-06
P19807	Choline transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HNM1 PE=1 SV=1	HNM1	YGL077C	3.27128031743018e-05	3.11584301883291e-05	3.08193624323249e-05
P19812	E3 ubiquitin-protein ligase UBR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBR1 PE=1 SV=1	UBR1	YGR184C	4.9755653277941e-05	5.08659724002702e-05	4.99665333231343e-05
P19880	AP-1-like transcription factor YAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YAP1 PE=1 SV=2	YAP1	YML007W	1.5049628871624e-05	1.49915990664482e-05	1.49029624492924e-05
P19881	4-nitrophenylphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHO13 PE=1 SV=2	PHO13	YDL236W	6.15898832655807e-05	6.18491011664193e-05	6.04099699606708e-05
P19882	Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP60 PE=1 SV=1	HSP60	YLR259C	0.00223104514643035	0.00222658339169403	0.00221593909658587
P19955	37S ribosomal protein YMR-31, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YMR31 PE=1 SV=1	YMR31	YFR049W	1.08905173938846e-05	9.84200201737905e-06	1.00195361166654e-05
P19956	54S ribosomal protein L44, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRPL44 PE=1 SV=1	MRPL44	YMR225C	3.59805096183611e-06	3.72335193827256e-06	3.56273435492416e-06
P20049	Prephenate dehydrogenase [NADP(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TYR1 PE=1 SV=2	TYR1	YBR166C	3.65145834549799e-05	3.39161137700305e-05	3.38023936524027e-05
P20051	Dihydroorotase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA4 PE=1 SV=2	URA4	YLR420W	7.49437751701546e-05	7.48745445703492e-05	7.55510282804852e-05
P20052	PHO85 cyclin PHO80 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHO80 PE=1 SV=3	PHO80	YOL001W	7.55222409764109e-07	6.79977003480811e-07	7.14764145816367e-07
P20053	U4/U6 small nuclear ribonucleoprotein PRP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRP4 PE=1 SV=1	PRP4	YPR178W	8.62577333668007e-06	7.94598669088832e-06	8.28876404518975e-06
P20081	FK506-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FPR1 PE=1 SV=2	FPR1	YNL135C	0.000631213206782734	0.000568300960908061	0.000563839208689885
P20084	54S ribosomal protein L33, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRPL33 PE=1 SV=4	MRPL33	YMR286W	1.63239416269678e-05	1.67065675361635e-05	1.62296896328521e-05
P20095	Pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRP2 PE=1 SV=1	PRP2	YNR011C	7.42823296142837e-06	7.24771230216189e-06	7.07885210558728e-06
P20107	Zinc/cadmium resistance protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZRC1 PE=1 SV=2	ZRC1	YMR243C	0.000133096565275794	0.000127367509065639	0.00013072600479978
P20133	Geranylgeranyl transferase type-2 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BET2 PE=1 SV=3	BET2	YPR176C	1.38300073002067e-05	1.33387603549122e-05	1.35188987249051e-05
P20424	Signal recognition particle subunit SRP54 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRP54 PE=1 SV=2	SRP54	YPR088C	0.000106147078323344	0.000106584416555377	0.000103934558446552
P20433	DNA-directed RNA polymerase II subunit RPB4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB4 PE=1 SV=1	RPB4	YJL140W	1.20583098559345e-05	1.26029432584172e-05	1.24655875204794e-05
P20434	DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB5 PE=1 SV=1	RPB5	YBR154C	2.97416808093345e-05	3.08672905471387e-05	3.07796198450732e-05
P20435	DNA-directed RNA polymerases I, II, and III subunit RPABC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO26 PE=1 SV=1	RPO26	YPR187W	4.69555692252701e-05	4.64049400044066e-05	4.43050657236462e-05
P20436	DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB8 PE=1 SV=1	RPB8	YOR224C	4.42542854023963e-05	4.29134575667484e-05	4.0757353989675e-05
P20447	ATP-dependent RNA helicase DBP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DBP3 PE=1 SV=2	DBP3	YGL078C	0.000113655959772116	0.000119219317511654	0.00011030901956451
P20448	ATP-dependent RNA helicase HCA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HCA4 PE=1 SV=2	HCA4	YJL033W	4.59403308189948e-05	4.5716756939679e-05	4.49055566880483e-05
P20449	ATP-dependent RNA helicase DBP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DBP5 PE=1 SV=2	DBP5	YOR046C	8.83676109613289e-05	8.81925538259167e-05	8.68749626498724e-05
P20457	DNA primase large subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRI2 PE=1 SV=1	PRI2	YKL045W	9.24029612610424e-06	9.61955194914164e-06	9.78138002746384e-06
P20459	Eukaryotic translation initiation factor 2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUI2 PE=1 SV=1	SUI2	YJR007W	0.000147932456094576	0.000155085096986261	0.00015124684163604
P20484	Protein MAK11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAK11 PE=1 SV=2	MAK11	YKL021C	9.3137902740514e-05	7.5141827030731e-05	8.45954508571933e-05
P20485	Choline kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CKI1 PE=1 SV=1	CKI1	YLR133W	5.23043091403373e-05	5.29497439624489e-05	5.73625657773652e-05
P20486	Cyclin-dependent kinases regulatory subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CKS1 PE=1 SV=1	CKS1	YBR135W	1.52448711461064e-05	1.41275567570861e-05	1.383974959416e-05
P20604	Serine/threonine-protein phosphatase PP1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SIT4 PE=1 SV=1	SIT4	YDL047W	1.59388404861829e-05	1.53662763099006e-05	1.60832822751316e-05
P20606	Small COPII coat GTPase SAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAR1 PE=1 SV=1	SAR1	YPL218W	0.000603215532704493	0.000559744405064951	0.000581228020385625
P20676	Nucleoporin NUP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP1 PE=1 SV=1	NUP1	YOR098C	2.63370840641916e-05	2.72643637706262e-05	2.61589536966223e-05
P20795	Vacuolar protein sorting-associated protein 33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS33 PE=1 SV=1	VPS33	YLR396C	1.76509827451545e-05	1.68381294366095e-05	1.73321065060485e-05
P20967	2-oxoglutarate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KGD1 PE=1 SV=2	KGD1	YIL125W	0.000234768890321189	0.000237375112028372	0.00023130817951315
P21147	Acyl-CoA desaturase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OLE1 PE=1 SV=2	OLE1	YGL055W	0.000128723001997496	0.000129126406502804	0.000126017504561607
P21182	S-adenosylmethionine decarboxylase proenzyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPE2 PE=1 SV=1	SPE2	YOL052C	1.79208138893122e-05	1.82170300570104e-05	1.8567856300647e-05
P21242	Probable proteasome subunit alpha type-7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE10 PE=1 SV=2	PRE10	YOR362C	0.000219033580747394	0.000213558999699248	0.000212880003854239
P21243	Proteasome subunit alpha type-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCL1 PE=1 SV=1	SCL1	YGL011C	7.43291255012435e-05	7.20727261302251e-05	7.15065859397186e-05
P21264	Phosphoribosylaminoimidazole carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE2 PE=1 SV=1	ADE2	YOR128C	0.000593420534418133	0.000580639839217617	0.000586485131992099
P21269	CCA tRNA nucleotidyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCA1 PE=1 SV=1	CCA1	YER168C	2.01151499720436e-05	2.06080403148038e-05	2.01006087862978e-05
P21304	Periodic tryptophan protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PWP1 PE=1 SV=1	PWP1	YLR196W	0.000448270803457935	0.000439939532013847	0.000428136626314766
P21306	ATP synthase subunit epsilon, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP15 PE=1 SV=2	ATP15	YPL271W	2.71583485546507e-05	2.63448719725678e-05	2.51413886115304e-05
P21339	Morphogenesis-related protein MSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSB1 PE=1 SV=1	MSB1	YOR188W	1.0650967896096e-05	1.07268361953495e-05	1.07274899643925e-05
